week,channel,SARS-CoV2/PMMoV x 1000,infA/PMMoV x 1000,infB/PMMoV x 1000,
2020-38,Uppsala,0.03234712,NA,NA,
2020-39,Uppsala,0.18021966,NA,NA,
2020-40,Uppsala,0.86413015,NA,NA,
2020-41,Uppsala,0.79019388,NA,NA,
2020-42,Uppsala,1.86689079,NA,NA,
2020-43,Uppsala,3.75226565,NA,NA,
2020-44,Uppsala,2.20884604,NA,NA,
2020-45,Uppsala,6.0720161,NA,NA,
2020-46,Uppsala,11.3122491,NA,NA,
2020-47,Uppsala,5.6330195,NA,NA,
2020-48,Uppsala,2.54618027,NA,NA,
2020-49,Uppsala,2.21346706,NA,NA,
2020-50*,,0,NA,NA,
2020-51,Uppsala,0.89185625,NA,NA,
2020-52*,,0,NA,NA,
2020-53*,,0,NA,NA,
2021-01,Uppsala,2.42141281,NA,NA,
2021-02,Uppsala,2.90661958,NA,NA,
2021-03,Uppsala,0.85950913,NA,NA,
2021-04,Uppsala,1.81605961,NA,NA,
2021-05,Uppsala,0.73474168,NA,NA,
2021-06,Uppsala,1.35395793,NA,NA,
2021-07,Uppsala,4.21436733,NA,NA,
2021-08,Uppsala,2.29202434,NA,NA,
2021-09,Uppsala,12.3843251,NA,NA,
2021-10,Uppsala,5.89179644,NA,NA,
2021-11,Uppsala,5.25871714,NA,NA,
2021-11,Knivsta,6.5710859,NA,NA,
2021-12,Uppsala,3.91862226,NA,NA,
2021-13,Knivsta,4.95373002,NA,NA,
2021-13,Uppsala,11.8621502,NA,NA,
2021-13,Enköping,4.28368259,NA,NA,
2021-14,Knivsta,6.76978964,NA,NA,
2021-14,Älvkarleby,0.92882438,NA,NA,
2021-14,Uppsala,10.2540363,NA,NA,
2021-14,Enköping,10.8686315,NA,NA,
2021-14,Östhammar,1.96855316,NA,NA,
2021-15,Östhammar,7.22264925,NA,NA,
2021-15,Uppsala,2.67094772,NA,NA,
2021-15,Enköping,2.72639992,NA,NA,
2021-15,Knivsta,2.72639992,NA,NA,
2021-15,Älvkarleby,3.24857482,NA,NA,
2021-16,Uppsala,8.87697331,NA,NA,
2021-16,Knivsta,13.5072321,NA,NA,
2021-16,Östhammar,16.2752212,NA,NA,
2021-16,Älvkarleby,17.296466,NA,NA,
2021-16,Ekerö,3.85854904,NA,NA,
2021-16,Enköping,3.94172735,NA,NA,
2021-16,Tierp,4.05263175,NA,NA,
2021-17,Älvkarleby,4.84744664,NA,NA,
2021-17,Knivsta,5.1940229,NA,NA,
2021-17,Österåker,5.64226153,NA,NA,
2021-17,Östhammar,7.54149947,NA,NA,
2021-17,Vaxholm,1.17835929,NA,NA,
2021-17,Uppsala,1.88075384,NA,NA,
2021-17,Tierp,2.74488399,NA,NA,
2021-17,Ekerö,3.08683923,NA,NA,
2021-17,Enköping,3.08683923,NA,NA,
2021-18,Östhammar,0.18021966,NA,NA,
2021-18,Ekerö,0.37430236,NA,NA,
2021-18,Vaxholm,0.45285965,NA,NA,
2021-18,Österåker,0.65618439,NA,NA,
2021-18,Tierp,5.07849748,NA,NA,
